Pseudodiploria189071	U
Pseudodiploria181545	J
Pseudodiploria199881	P
Pseudodiploria204816	O
Pseudodiploria169560	S
Pseudodiploria204997	A
Pseudodiploria184407	O
Pseudodiploria177012	H
Pseudodiploria180039	L
Pseudodiploria205381	T
Pseudodiploria183626	A
Pseudodiploria185877	S
Pseudodiploria184912	T
Pseudodiploria199268	A
Pseudodiploria197864	T
Pseudodiploria175618	E
Pseudodiploria173601	S
Pseudodiploria195046	TV
Pseudodiploria201083	C
Pseudodiploria99280	S
Pseudodiploria83839	D
Pseudodiploria176004	DZ
Pseudodiploria201069	E
Pseudodiploria192195	S
Pseudodiploria187228	J
Pseudodiploria188906	U
Pseudodiploria194036	U
Pseudodiploria82275	Q
Pseudodiploria203939	S
Pseudodiploria170675	Q
Pseudodiploria165688	O
Pseudodiploria98069	T
Pseudodiploria188992	K
Pseudodiploria203740	O
Pseudodiploria194246	D
Pseudodiploria287879	T
Pseudodiploria176690	U
Pseudodiploria205398	C
Pseudodiploria200532	T
Pseudodiploria192452	S
Pseudodiploria192716	J
Pseudodiploria183392	T
Pseudodiploria185556	S
Pseudodiploria193722	S
Pseudodiploria191476	T
Pseudodiploria202787	O
Pseudodiploria183173	F
Pseudodiploria420366	O
Pseudodiploria189870	S
Pseudodiploria188139	S
Pseudodiploria405754	Q
Pseudodiploria185315	G
Pseudodiploria180309	TU
Pseudodiploria202412	S
Pseudodiploria383981	O
Pseudodiploria197054	S
Pseudodiploria193316	S
Pseudodiploria189434	S
Pseudodiploria198718	L
Pseudodiploria202153	P
Pseudodiploria168840	EM
Pseudodiploria70997	ET
Pseudodiploria200580	T
Pseudodiploria180848	S
Pseudodiploria194891	EG
Pseudodiploria185197	S
Pseudodiploria183778	C
Pseudodiploria204666	S
Pseudodiploria192000	C
Pseudodiploria175464	T
Pseudodiploria192736	K
Pseudodiploria204125	L
Pseudodiploria183111	O
Pseudodiploria202052	K
Pseudodiploria198951	U
Pseudodiploria180059	C
Pseudodiploria205417	S
Pseudodiploria179133	U
Pseudodiploria175069	S
Pseudodiploria172370	O
Pseudodiploria174965	C
Pseudodiploria204425	T
Pseudodiploria203799	T
Pseudodiploria193245	S
Pseudodiploria202797	T
Pseudodiploria196805	K
Pseudodiploria177561	J
Pseudodiploria205079	K
Pseudodiploria274619	T
Pseudodiploria95545	O
Pseudodiploria195344	O
Pseudodiploria200892	I
Pseudodiploria199302	BK
Pseudodiploria191707	T
Pseudodiploria86186	T
Pseudodiploria198618	Z
Pseudodiploria188930	S
Pseudodiploria198583	T
Pseudodiploria93330	S
Pseudodiploria202998	KL
Pseudodiploria201374	T
Pseudodiploria184680	T
Pseudodiploria200344	TZ
Pseudodiploria193975	S
Pseudodiploria200801	U
Pseudodiploria309066	P
Pseudodiploria205410	S
Pseudodiploria192699	-
Pseudodiploria190751	O
Pseudodiploria55707	S
Pseudodiploria189016	S
Pseudodiploria289637	A
Pseudodiploria179684	S
Pseudodiploria192611	I
Pseudodiploria188614	O
Pseudodiploria164735	K
Pseudodiploria173457	K
Pseudodiploria199755	S
Pseudodiploria185466	O
Pseudodiploria189145	U
Pseudodiploria184792	S
Pseudodiploria196233	U
Pseudodiploria195520	L
Pseudodiploria180830	T
Pseudodiploria176810	O
Pseudodiploria205570	S
Pseudodiploria203571	S
Pseudodiploria185418	E
Pseudodiploria413520	S
Pseudodiploria393213	O
Pseudodiploria187093	T
Pseudodiploria29007	T
Pseudodiploria33365	P
Pseudodiploria192688	O
Pseudodiploria194228	S
Pseudodiploria393426	T
Pseudodiploria232867	E
